Province/State,Country/Region_x,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Country_x,Alpha-2 code,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),ROTA,HepB,DTP3,MCV2,MCV1,Hib3,PAB.,Pol3,PCV3,BCG.,continent,pop_obsesity_x,Male_obesity_x,Female_obesity_x,Country_x.1,pop_obsesity_y,Male_obesity_y,Female_obesity_y,Country_y,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,Tests,Positive,As of,Tests/ million,Positive/ thousands,lockdown_date,Type_lockdown,nb_trial,country
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/03/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,26/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
Fujian,China,China,1367110000.0,26.0789,117.9874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,China,CN,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,China,China,Asia-Pacific,100.0,20.0,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0,3.5,45.0,25.0,17.5,31.6,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.00",47.8,,99.0,99.0,99.0,99.0,,,99.0,,99.0,Asia,6.6,6.2,7.1,China,6.6,6.2,7.1,China,6.6,6.2,7.1,3.8,5.0,58.0,35.9,398.3,761.5,0.0,1.8,2.3,40.1,,4.0,,,,,,23/01/2020,Full,5.0,China
