Territory X Date,target
Bahamas (the) X 4/8/20,7
Bahrain X 4/2/20,4
Bahrain X 4/3/20,4
Bahrain X 4/4/20,4
Bahrain X 4/5/20,4
Bahrain X 4/6/20,4
Bahrain X 4/7/20,5
Bahrain X 4/8/20,5
Bangladesh X 4/2/20,6
Bangladesh X 4/3/20,6
Bangladesh X 4/4/20,8
Bangladesh X 4/5/20,9
Bangladesh X 4/6/20,12
Bangladesh X 4/7/20,17
Bangladesh X 4/8/20,20
Barbados X 4/2/20,0
Barbados X 4/3/20,0
Barbados X 4/4/20,0
Barbados X 4/5/20,1
Barbados X 4/6/20,2
Barbados X 4/7/20,3
Barbados X 4/8/20,3
Belarus X 4/2/20,4
Belarus X 4/3/20,4
Belarus X 4/4/20,5
Belarus X 4/5/20,8
Belarus X 4/6/20,13
Belarus X 4/7/20,13
Belarus X 4/8/20,13
Belgium X 4/2/20,1011
Belgium X 4/3/20,1143
Belgium X 4/4/20,1283
Belgium X 4/5/20,1447
Belgium X 4/6/20,1632
Belgium X 4/7/20,2035
Belgium X 4/8/20,2240
Belize X 4/2/20,0
Belize X 4/3/20,0
Belize X 4/4/20,0
Belize X 4/5/20,0
Belize X 4/6/20,1
Belize X 4/7/20,1
Belize X 4/8/20,1
Benin X 4/2/20,0
Benin X 4/3/20,0
Benin X 4/4/20,0
Benin X 4/5/20,0
Benin X 4/6/20,1
Benin X 4/7/20,1
Benin X 4/8/20,1
Bermuda X 4/2/20,0
Bermuda X 4/3/20,0
Bermuda X 4/4/20,0
Bermuda X 4/5/20,0
Bermuda X 4/6/20,2
Bermuda X 4/7/20,2
Bermuda X 4/8/20,3
Bhutan X 4/2/20,0
Bhutan X 4/3/20,0
Bhutan X 4/4/20,0
Bhutan X 4/5/20,0
Bhutan X 4/6/20,0
Bhutan X 4/7/20,0
Bhutan X 4/8/20,0
Bolivia (Plurinational State of) X 4/2/20,8
Bolivia (Plurinational State of) X 4/3/20,9
Bolivia (Plurinational State of) X 4/4/20,10
Bolivia (Plurinational State of) X 4/5/20,10
Bolivia (Plurinational State of) X 4/6/20,11
Bolivia (Plurinational State of) X 4/7/20,14
Bolivia (Plurinational State of) X 4/8/20,15
Bosnia and Herzegovina X 4/2/20,16
Bosnia and Herzegovina X 4/3/20,17
Bosnia and Herzegovina X 4/4/20,21
Bosnia and Herzegovina X 4/5/20,23
Bosnia and Herzegovina X 4/6/20,29
Bosnia and Herzegovina X 4/7/20,33
Bosnia and Herzegovina X 4/8/20,34
Botswana X 4/2/20,1
Botswana X 4/3/20,1
Botswana X 4/4/20,1
Botswana X 4/5/20,1
Botswana X 4/6/20,1
Botswana X 4/7/20,1
Botswana X 4/8/20,1
Brazil X 4/2/20,324
Brazil X 4/3/20,359
Brazil X 4/4/20,445
Brazil X 4/5/20,486
Brazil X 4/6/20,564
Brazil X 4/7/20,686
Brazil X 4/8/20,819
Brunei Darussalam X 4/2/20,1
Brunei Darussalam X 4/3/20,1
Brunei Darussalam X 4/4/20,1
Brunei Darussalam X 4/5/20,1
Brunei Darussalam X 4/6/20,1
Brunei Darussalam X 4/7/20,1
Brunei Darussalam X 4/8/20,1
Bulgaria X 4/2/20,10
Bulgaria X 4/3/20,14
Bulgaria X 4/4/20,17
Bulgaria X 4/5/20,20
Bulgaria X 4/6/20,22
Bulgaria X 4/7/20,23
Bulgaria X 4/8/20,24
Burkina Faso X 4/2/20,16
Burkina Faso X 4/3/20,16
Burkina Faso X 4/4/20,16
Burkina Faso X 4/5/20,17
Burkina Faso X 4/6/20,18
Burkina Faso X 4/7/20,19
Burkina Faso X 4/8/20,23
Burundi X 4/2/20,0
Burundi X 4/3/20,0
Burundi X 4/4/20,0
Burundi X 4/5/20,0
Burundi X 4/6/20,0
Burundi X 4/7/20,0
Burundi X 4/8/20,0
Cabo Verde X 4/2/20,1
Cabo Verde X 4/3/20,1
Cabo Verde X 4/4/20,1
Cabo Verde X 4/5/20,1
Cabo Verde X 4/6/20,1
Cabo Verde X 4/7/20,1
Cabo Verde X 4/8/20,1
Cambodia X 4/2/20,0
Cambodia X 4/3/20,0
Cambodia X 4/4/20,0
Cambodia X 4/5/20,0
Cambodia X 4/6/20,0
Cambodia X 4/7/20,0
Cambodia X 4/8/20,0
Cameroon X 4/2/20,7
Cameroon X 4/3/20,8
Cameroon X 4/4/20,9
Cameroon X 4/5/20,9
Cameroon X 4/6/20,9
Cameroon X 4/7/20,9
Cameroon X 4/8/20,10
Canada X 4/2/20,139
Canada X 4/3/20,179
Canada X 4/4/20,218
Canada X 4/5/20,259
Canada X 4/6/20,339
Canada X 4/7/20,375
Canada X 4/8/20,407
Cayman Islands X 4/2/20,1
Cayman Islands X 4/3/20,1
Cayman Islands X 4/4/20,1
Cayman Islands X 4/5/20,1
Cayman Islands X 4/6/20,1
Cayman Islands X 4/7/20,1
Cayman Islands X 4/8/20,1
Central African Republic (the) X 4/2/20,0
Central African Republic (the) X 4/3/20,0
Central African Republic (the) X 4/4/20,0
Central African Republic (the) X 4/5/20,0
Central African Republic (the) X 4/6/20,0
Central African Republic (the) X 4/7/20,0
Central African Republic (the) X 4/8/20,0
Chad X 4/2/20,0
Chad X 4/3/20,0
Chad X 4/4/20,0
Chad X 4/5/20,0
Chad X 4/6/20,0
Chad X 4/7/20,0
Chad X 4/8/20,0
Chile X 4/2/20,18
Chile X 4/3/20,22
Chile X 4/4/20,27
Chile X 4/5/20,34
Chile X 4/6/20,37
Chile X 4/7/20,43
Chile X 4/8/20,48
China X 4/2/20,3322
China X 4/3/20,3326
China X 4/4/20,3330
China X 4/5/20,3333
China X 4/6/20,3335
China X 4/7/20,3335
China X 4/8/20,3337
Colombia X 4/2/20,19
Colombia X 4/3/20,25
Colombia X 4/4/20,32
Colombia X 4/5/20,35
Colombia X 4/6/20,46
Colombia X 4/7/20,50
Colombia X 4/8/20,54
Comoros (the) X 4/2/20,0
Comoros (the) X 4/3/20,0
Comoros (the) X 4/4/20,0
Comoros (the) X 4/5/20,0
Comoros (the) X 4/6/20,0
Comoros (the) X 4/7/20,0
Comoros (the) X 4/8/20,0
Congo (the) X 4/2/20,2
Congo (the) X 4/3/20,2
Congo (the) X 4/4/20,2
Congo (the) X 4/5/20,5
Congo (the) X 4/6/20,5
Congo (the) X 4/7/20,5
Congo (the) X 4/8/20,5
Costa Rica X 4/2/20,2
Costa Rica X 4/3/20,2
Costa Rica X 4/4/20,2
Costa Rica X 4/5/20,2
Costa Rica X 4/6/20,2
Costa Rica X 4/7/20,2
Costa Rica X 4/8/20,3
Croatia X 4/2/20,7
Croatia X 4/3/20,8
Croatia X 4/4/20,12
Croatia X 4/5/20,15
Croatia X 4/6/20,16
Croatia X 4/7/20,18
Croatia X 4/8/20,19
Cuba X 4/2/20,6
Cuba X 4/3/20,6
Cuba X 4/4/20,6
Cuba X 4/5/20,8
Cuba X 4/6/20,9
Cuba X 4/7/20,11
Cuba X 4/8/20,12
Curacao X 4/2/20,1
Curacao X 4/3/20,1
Curacao X 4/4/20,1
Curacao X 4/5/20,1
Curacao X 4/6/20,1
Curacao X 4/7/20,1
Curacao X 4/8/20,1
Cyprus X 4/2/20,10
Cyprus X 4/3/20,11
Cyprus X 4/4/20,11
Cyprus X 4/5/20,9
Cyprus X 4/6/20,9
Cyprus X 4/7/20,9
Cyprus X 4/8/20,9
Czechia X 4/2/20,44
Czechia X 4/3/20,53
Czechia X 4/4/20,59
Czechia X 4/5/20,67
Czechia X 4/6/20,78
Czechia X 4/7/20,88
Czechia X 4/8/20,99
Côte d'Ivoire X 4/2/20,1
Côte d'Ivoire X 4/3/20,1
Côte d'Ivoire X 4/4/20,1
Côte d'Ivoire X 4/5/20,3
Côte d'Ivoire X 4/6/20,3
Côte d'Ivoire X 4/7/20,3
Côte d'Ivoire X 4/8/20,3
Democratic People's Republic of Korea (the) X 4/2/20,169
Democratic People's Republic of Korea (the) X 4/3/20,174
Democratic People's Republic of Korea (the) X 4/4/20,177
Democratic People's Republic of Korea (the) X 4/5/20,183
Democratic People's Republic of Korea (the) X 4/6/20,186
Democratic People's Republic of Korea (the) X 4/7/20,192
Democratic People's Republic of Korea (the) X 4/8/20,200
Democratic Republic of the Congo (the) X 4/2/20,13
Democratic Republic of the Congo (the) X 4/3/20,13
Democratic Republic of the Congo (the) X 4/4/20,18
Democratic Republic of the Congo (the) X 4/5/20,18
Democratic Republic of the Congo (the) X 4/6/20,18
Democratic Republic of the Congo (the) X 4/7/20,18
Democratic Republic of the Congo (the) X 4/8/20,18
Denmark X 4/2/20,123
Denmark X 4/3/20,139
Denmark X 4/4/20,161
Denmark X 4/5/20,179
Denmark X 4/6/20,187
Denmark X 4/7/20,203
Denmark X 4/8/20,218
Djibouti X 4/2/20,0
Djibouti X 4/3/20,0
Djibouti X 4/4/20,0
Djibouti X 4/5/20,0
Djibouti X 4/6/20,0
Djibouti X 4/7/20,0
Djibouti X 4/8/20,0
Dominica X 4/2/20,0
Dominica X 4/3/20,0
Dominica X 4/4/20,0
Dominica X 4/5/20,0
Dominica X 4/6/20,0
Dominica X 4/7/20,0
Dominica X 4/8/20,0
Dominican Republic (the) X 4/2/20,60
Dominican Republic (the) X 4/3/20,68
Dominican Republic (the) X 4/4/20,68
Dominican Republic (the) X 4/5/20,82
Dominican Republic (the) X 4/6/20,86
Dominican Republic (the) X 4/7/20,98
Dominican Republic (the) X 4/8/20,108
Ecuador X 4/2/20,120
Ecuador X 4/3/20,145
Ecuador X 4/4/20,172
Ecuador X 4/5/20,180
Ecuador X 4/6/20,191
Ecuador X 4/7/20,191
Ecuador X 4/8/20,242
Egypt X 4/2/20,58
Egypt X 4/3/20,66
Egypt X 4/4/20,71
Egypt X 4/5/20,78
Egypt X 4/6/20,85
Egypt X 4/7/20,94
Egypt X 4/8/20,103
El Salvador X 4/2/20,2
El Salvador X 4/3/20,2
El Salvador X 4/4/20,3
El Salvador X 4/5/20,3
El Salvador X 4/6/20,4
El Salvador X 4/7/20,4
El Salvador X 4/8/20,5
Equatorial Guinea X 4/2/20,0
Equatorial Guinea X 4/3/20,0
Equatorial Guinea X 4/4/20,0
Equatorial Guinea X 4/5/20,0
Equatorial Guinea X 4/6/20,0
Equatorial Guinea X 4/7/20,0
Equatorial Guinea X 4/8/20,0
Eritrea X 4/2/20,0
Eritrea X 4/3/20,0
Eritrea X 4/4/20,0
Eritrea X 4/5/20,0
Eritrea X 4/6/20,0
Eritrea X 4/7/20,0
Eritrea X 4/8/20,0
Estonia X 4/2/20,11
Estonia X 4/3/20,12
Estonia X 4/4/20,13
Estonia X 4/5/20,15
Estonia X 4/6/20,19
Estonia X 4/7/20,21
Estonia X 4/8/20,24
Eswatini X 4/2/20,0
Eswatini X 4/3/20,0
Eswatini X 4/4/20,0
Eswatini X 4/5/20,0
Eswatini X 4/6/20,0
Eswatini X 4/7/20,0
Eswatini X 4/8/20,0
Ethiopia X 4/2/20,0
Ethiopia X 4/3/20,0
Ethiopia X 4/4/20,0
Ethiopia X 4/5/20,2
Ethiopia X 4/6/20,2
Ethiopia X 4/7/20,2
Ethiopia X 4/8/20,2
Faroe Islands X 4/2/20,0
Faroe Islands X 4/3/20,0
Faroe Islands X 4/4/20,0
Faroe Islands X 4/5/20,0
Faroe Islands X 4/6/20,0
Faroe Islands X 4/7/20,0
Faroe Islands X 4/8/20,0
Fiji X 4/2/20,0
Fiji X 4/3/20,0
Fiji X 4/4/20,0
Fiji X 4/5/20,0
Fiji X 4/6/20,0
Fiji X 4/7/20,0
Fiji X 4/8/20,0
Finland X 4/2/20,19
Finland X 4/3/20,20
Finland X 4/4/20,25
Finland X 4/5/20,28
Finland X 4/6/20,27
Finland X 4/7/20,34
Finland X 4/8/20,40
France X 4/2/20,5390
France X 4/3/20,6510
France X 4/4/20,7563
France X 4/5/20,8082
France X 4/6/20,8915
France X 4/7/20,10332
France X 4/8/20,10875
French Guiana X 4/2/20,0
French Guiana X 4/3/20,0
French Guiana X 4/4/20,0
French Guiana X 4/5/20,0
French Guiana X 4/6/20,0
French Guiana X 4/7/20,0
French Guiana X 4/8/20,0
French Polynesia X 4/2/20,0
French Polynesia X 4/3/20,0
French Polynesia X 4/4/20,0
French Polynesia X 4/5/20,0
French Polynesia X 4/6/20,0
French Polynesia X 4/7/20,0
French Polynesia X 4/8/20,0
Gabon X 4/2/20,1
Gabon X 4/3/20,1
Gabon X 4/4/20,1
Gabon X 4/5/20,1
Gabon X 4/6/20,1
Gabon X 4/7/20,1
Gabon X 4/8/20,1
Gambia (the) X 4/2/20,1
Gambia (the) X 4/3/20,1
Gambia (the) X 4/4/20,1
Gambia (the) X 4/5/20,1
Gambia (the) X 4/6/20,1
Gambia (the) X 4/7/20,1
Gambia (the) X 4/8/20,1
Georgia X 4/2/20,0
Georgia X 4/3/20,0
Georgia X 4/4/20,1
Georgia X 4/5/20,2
Georgia X 4/6/20,2
Georgia X 4/7/20,3
Georgia X 4/8/20,3
Germany X 4/2/20,1107
Germany X 4/3/20,1275
Germany X 4/4/20,1444
Germany X 4/5/20,1584
Germany X 4/6/20,1810
Germany X 4/7/20,2016
Germany X 4/8/20,2349
Ghana X 4/2/20,5
Ghana X 4/3/20,5
Ghana X 4/4/20,5
Ghana X 4/5/20,5
Ghana X 4/6/20,5
Ghana X 4/7/20,5
Ghana X 4/8/20,6
Greece X 4/2/20,53
Greece X 4/3/20,63
Greece X 4/4/20,68
Greece X 4/5/20,73
Greece X 4/6/20,79
Greece X 4/7/20,81
Greece X 4/8/20,83
Greenland X 4/2/20,0
Greenland X 4/3/20,0
Greenland X 4/4/20,0
Greenland X 4/5/20,0
Greenland X 4/6/20,0
Greenland X 4/7/20,0
Greenland X 4/8/20,0
Grenada X 4/2/20,0
Grenada X 4/3/20,0
Grenada X 4/4/20,0
Grenada X 4/5/20,0
Grenada X 4/6/20,0
Grenada X 4/7/20,0
Grenada X 4/8/20,0
Guadeloupe X 4/2/20,6
Guadeloupe X 4/3/20,7
Guadeloupe X 4/4/20,7
Guadeloupe X 4/5/20,7
Guadeloupe X 4/6/20,7
Guadeloupe X 4/7/20,7
Guadeloupe X 4/8/20,8
Guatemala X 4/2/20,1
Guatemala X 4/3/20,1
Guatemala X 4/4/20,2
Guatemala X 4/5/20,2
Guatemala X 4/6/20,3
Guatemala X 4/7/20,3
Guatemala X 4/8/20,3
Guinea X 4/2/20,0
Guinea X 4/3/20,0
Guinea X 4/4/20,0
Guinea X 4/5/20,0
Guinea X 4/6/20,0
Guinea X 4/7/20,0
Guinea X 4/8/20,0
Guinea-Bissau X 4/2/20,0
Guinea-Bissau X 4/3/20,0
Guinea-Bissau X 4/4/20,0
Guinea-Bissau X 4/5/20,0
Guinea-Bissau X 4/6/20,0
Guinea-Bissau X 4/7/20,0
Guinea-Bissau X 4/8/20,0
Guyana X 4/2/20,4
Guyana X 4/3/20,4
Guyana X 4/4/20,4
Guyana X 4/5/20,4
Guyana X 4/6/20,4
Guyana X 4/7/20,5
Guyana X 4/8/20,6
Haiti X 4/2/20,0
Haiti X 4/3/20,0
Haiti X 4/4/20,0
Haiti X 4/5/20,1
Haiti X 4/6/20,1
Haiti X 4/7/20,1
Haiti X 4/8/20,1
Honduras X 4/2/20,14
Honduras X 4/3/20,15
Honduras X 4/4/20,15
Honduras X 4/5/20,22
Honduras X 4/6/20,22
Honduras X 4/7/20,22
Honduras X 4/8/20,22
Hungary X 4/2/20,21
Hungary X 4/3/20,26
Hungary X 4/4/20,32
Hungary X 4/5/20,34
Hungary X 4/6/20,38
Hungary X 4/7/20,47
Hungary X 4/8/20,58
Iceland X 4/2/20,4
Iceland X 4/3/20,4
Iceland X 4/4/20,4
Iceland X 4/5/20,4
Iceland X 4/6/20,6
Iceland X 4/7/20,6
Iceland X 4/8/20,6
India X 4/2/20,72
India X 4/3/20,72
India X 4/4/20,86
India X 4/5/20,99
India X 4/6/20,136
India X 4/7/20,150
India X 4/8/20,178
Indonesia X 4/2/20,170
Indonesia X 4/3/20,181
Indonesia X 4/4/20,191
Indonesia X 4/5/20,198
Indonesia X 4/6/20,209
Indonesia X 4/7/20,221
Indonesia X 4/8/20,240
Iran (Islamic Republic of) X 4/2/20,3160
Iran (Islamic Republic of) X 4/3/20,3294
Iran (Islamic Republic of) X 4/4/20,3452
Iran (Islamic Republic of) X 4/5/20,3603
Iran (Islamic Republic of) X 4/6/20,3739
Iran (Islamic Republic of) X 4/7/20,3872
Iran (Islamic Republic of) X 4/8/20,3993
Iraq X 4/2/20,54
Iraq X 4/3/20,54
Iraq X 4/4/20,56
Iraq X 4/5/20,61
Iraq X 4/6/20,64
Iraq X 4/7/20,65
Iraq X 4/8/20,69
Ireland X 4/2/20,98
Ireland X 4/3/20,120
Ireland X 4/4/20,137
Ireland X 4/5/20,158
Ireland X 4/6/20,174
Ireland X 4/7/20,210
Ireland X 4/8/20,235
Israel X 4/2/20,36
Israel X 4/3/20,40
Israel X 4/4/20,44
Israel X 4/5/20,49
Israel X 4/6/20,57
Israel X 4/7/20,65
Israel X 4/8/20,73
Italy X 4/2/20,13915
Italy X 4/3/20,14681
Italy X 4/4/20,15362
Italy X 4/5/20,15887
Italy X 4/6/20,16523
Italy X 4/7/20,17127
Italy X 4/8/20,17669
Jamaica X 4/2/20,3
Jamaica X 4/3/20,3
Jamaica X 4/4/20,3
Jamaica X 4/5/20,3
Jamaica X 4/6/20,3
Jamaica X 4/7/20,3
Jamaica X 4/8/20,4
Japan X 4/2/20,62
Japan X 4/3/20,63
Japan X 4/4/20,77
Japan X 4/5/20,77
Japan X 4/6/20,85
Japan X 4/7/20,92
Japan X 4/8/20,93
Jordan X 4/2/20,5
Jordan X 4/3/20,5
Jordan X 4/4/20,5
Jordan X 4/5/20,5
Jordan X 4/6/20,6
Jordan X 4/7/20,6
Jordan X 4/8/20,6
Kazakhstan X 4/2/20,3
Kazakhstan X 4/3/20,6
Kazakhstan X 4/4/20,5
Kazakhstan X 4/5/20,6
Kazakhstan X 4/6/20,6
Kazakhstan X 4/7/20,6
Kazakhstan X 4/8/20,7
Kenya X 4/2/20,3
Kenya X 4/3/20,4
Kenya X 4/4/20,4
Kenya X 4/5/20,4
Kenya X 4/6/20,6
Kenya X 4/7/20,6
Kenya X 4/8/20,6
Kiribati X 4/2/20,0
Kiribati X 4/3/20,0
Kiribati X 4/4/20,0
Kiribati X 4/5/20,0
Kiribati X 4/6/20,0
Kiribati X 4/7/20,0
Kiribati X 4/8/20,0
Kuwait X 4/2/20,0
Kuwait X 4/3/20,0
Kuwait X 4/4/20,1
Kuwait X 4/5/20,1
Kuwait X 4/6/20,1
Kuwait X 4/7/20,1
Kuwait X 4/8/20,1
Kyrgyzstan X 4/2/20,0
Kyrgyzstan X 4/3/20,1
Kyrgyzstan X 4/4/20,1
Kyrgyzstan X 4/5/20,1
Kyrgyzstan X 4/6/20,4
Kyrgyzstan X 4/7/20,4
Kyrgyzstan X 4/8/20,4
Lao People's Democratic Republic (the) X 4/2/20,0
Lao People's Democratic Republic (the) X 4/3/20,0
Lao People's Democratic Republic (the) X 4/4/20,0
Lao People's Democratic Republic (the) X 4/5/20,0
Lao People's Democratic Republic (the) X 4/6/20,0
Lao People's Democratic Republic (the) X 4/7/20,0
Lao People's Democratic Republic (the) X 4/8/20,0
Latvia X 4/2/20,0
Latvia X 4/3/20,1
Latvia X 4/4/20,1
Latvia X 4/5/20,1
Latvia X 4/6/20,1
Latvia X 4/7/20,2
Latvia X 4/8/20,2
Lebanon X 4/2/20,16
Lebanon X 4/3/20,17
Lebanon X 4/4/20,17
Lebanon X 4/5/20,18
Lebanon X 4/6/20,19
Lebanon X 4/7/20,19
Lebanon X 4/8/20,19
Lesotho X 4/2/20,0
Lesotho X 4/3/20,0
Lesotho X 4/4/20,0
Lesotho X 4/5/20,0
Lesotho X 4/6/20,0
Lesotho X 4/7/20,0
Lesotho X 4/8/20,0
Liberia X 4/2/20,0
Liberia X 4/3/20,0
Liberia X 4/4/20,1
Liberia X 4/5/20,3
Liberia X 4/6/20,3
Liberia X 4/7/20,3
Liberia X 4/8/20,4
Libya X 4/2/20,1
Libya X 4/3/20,1
Libya X 4/4/20,1
Libya X 4/5/20,1
Libya X 4/6/20,1
Libya X 4/7/20,1
Libya X 4/8/20,1
Liechtenstein X 4/2/20,0
Liechtenstein X 4/3/20,0
Liechtenstein X 4/4/20,1
Liechtenstein X 4/5/20,1
Liechtenstein X 4/6/20,1
Liechtenstein X 4/7/20,1
Liechtenstein X 4/8/20,1
Lithuania X 4/2/20,9
Lithuania X 4/3/20,9
Lithuania X 4/4/20,11
Lithuania X 4/5/20,13
Lithuania X 4/6/20,15
Lithuania X 4/7/20,15
Lithuania X 4/8/20,15
Luxembourg X 4/2/20,30
Luxembourg X 4/3/20,31
Luxembourg X 4/4/20,31
Luxembourg X 4/5/20,36
Luxembourg X 4/6/20,41
Luxembourg X 4/7/20,44
Luxembourg X 4/8/20,46
Madagascar X 4/2/20,0
Madagascar X 4/3/20,0
Madagascar X 4/4/20,0
Madagascar X 4/5/20,0
Madagascar X 4/6/20,0
Madagascar X 4/7/20,0
Madagascar X 4/8/20,0
Malawi X 4/2/20,0
Malawi X 4/3/20,0
Malawi X 4/4/20,0
Malawi X 4/5/20,0
Malawi X 4/6/20,0
Malawi X 4/7/20,1
Malawi X 4/8/20,1
Malaysia X 4/2/20,50
Malaysia X 4/3/20,53
Malaysia X 4/4/20,57
Malaysia X 4/5/20,61
Malaysia X 4/6/20,62
Malaysia X 4/7/20,63
Malaysia X 4/8/20,65
Maldives X 4/2/20,0
Maldives X 4/3/20,0
Maldives X 4/4/20,0
Maldives X 4/5/20,0
Maldives X 4/6/20,0
Maldives X 4/7/20,0
Maldives X 4/8/20,0
Mali X 4/2/20,3
Mali X 4/3/20,3
Mali X 4/4/20,3
Mali X 4/5/20,5
Mali X 4/6/20,5
Mali X 4/7/20,5
Mali X 4/8/20,7
Malta X 4/2/20,0
Malta X 4/3/20,0
Malta X 4/4/20,0
Malta X 4/5/20,0
Malta X 4/6/20,0
Malta X 4/7/20,0
Malta X 4/8/20,1
Marshall Islands (the) X 4/2/20,0
Marshall Islands (the) X 4/3/20,0
Marshall Islands (the) X 4/4/20,0
Marshall Islands (the) X 4/5/20,0
Marshall Islands (the) X 4/6/20,0
Marshall Islands (the) X 4/7/20,0
Marshall Islands (the) X 4/8/20,0
Mauritania X 4/2/20,1
Mauritania X 4/3/20,1
Mauritania X 4/4/20,1
Mauritania X 4/5/20,1
Mauritania X 4/6/20,1
Mauritania X 4/7/20,1
Mauritania X 4/8/20,1
Mauritius X 4/2/20,7
Mauritius X 4/3/20,7
Mauritius X 4/4/20,7
Mauritius X 4/5/20,7
Mauritius X 4/6/20,7
Mauritius X 4/7/20,7
Mauritius X 4/8/20,7
Mayotte X 4/2/20,1
Mayotte X 4/3/20,2
Mayotte X 4/4/20,2
Mayotte X 4/5/20,2
Mayotte X 4/6/20,2
Mayotte X 4/7/20,2
Mayotte X 4/8/20,2
Mexico X 4/2/20,37
Mexico X 4/3/20,50
Mexico X 4/4/20,60
Mexico X 4/5/20,79
Mexico X 4/6/20,94
Mexico X 4/7/20,125
Mexico X 4/8/20,141
Micronesia (Federated States of) X 4/2/20,0
Micronesia (Federated States of) X 4/3/20,0
Micronesia (Federated States of) X 4/4/20,0
Micronesia (Federated States of) X 4/5/20,0
Micronesia (Federated States of) X 4/6/20,0
Micronesia (Federated States of) X 4/7/20,0
Micronesia (Federated States of) X 4/8/20,0
Monaco X 4/2/20,1
Monaco X 4/3/20,1
Monaco X 4/4/20,1
Monaco X 4/5/20,1
Monaco X 4/6/20,1
Monaco X 4/7/20,1
Monaco X 4/8/20,1
Mongolia X 4/2/20,0
Mongolia X 4/3/20,0
Mongolia X 4/4/20,0
Mongolia X 4/5/20,0
Mongolia X 4/6/20,0
Mongolia X 4/7/20,0
Mongolia X 4/8/20,0
Montenegro X 4/2/20,2
Montenegro X 4/3/20,2
Montenegro X 4/4/20,2
Montenegro X 4/5/20,2
Montenegro X 4/6/20,2
Montenegro X 4/7/20,2
Montenegro X 4/8/20,2
Montserrat X 4/2/20,0
Montserrat X 4/3/20,0
Montserrat X 4/4/20,0
Montserrat X 4/5/20,0
Montserrat X 4/6/20,0
Montserrat X 4/7/20,0
Montserrat X 4/8/20,0
Morocco X 4/2/20,44
Morocco X 4/3/20,48
Morocco X 4/4/20,59
Morocco X 4/5/20,70
Morocco X 4/6/20,80
Morocco X 4/7/20,90
Morocco X 4/8/20,93
Mozambique X 4/2/20,0
Mozambique X 4/3/20,0
Mozambique X 4/4/20,0
Mozambique X 4/5/20,0
Mozambique X 4/6/20,0
Mozambique X 4/7/20,0
Mozambique X 4/8/20,0
Myanmar X 4/2/20,0
Myanmar X 4/3/20,0
Myanmar X 4/4/20,0
Myanmar X 4/5/20,0
Myanmar X 4/6/20,0
Myanmar X 4/7/20,0
Myanmar X 4/8/20,0
Namibia X 4/2/20,0
Namibia X 4/3/20,0
Namibia X 4/4/20,0
Namibia X 4/5/20,0
Namibia X 4/6/20,0
Namibia X 4/7/20,0
Namibia X 4/8/20,0
