Province/State,Country/Region,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Country_x,Alpha-2 code,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,Country Name,WEBNAME,Region,World Rank,2019 Score,Government Integrity,Gov't Spending,Fiscal Health,Investment Freedom ,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Gov't Expenditure % of GDP ,"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),Public Debt (% of GDP),ROTAC.,HepB3.,DTP3.c,MCV2.c,MCV1.c,Hib3.c,PAB.cs,Pol3.c,PCV3.c,BCG.cs,continent,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18
Northern Territory,Australia,Australia,23696900.0,-12.4634,130.8456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
Queensland,Australia,Australia,23696900.0,-28.0167,153.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,4,4,4,4,4,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
South Australia,Australia,Australia,23696900.0,-34.9285,138.6007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
Tasmania,Australia,Australia,23696900.0,-41.4545,145.9707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
Victoria,Australia,Australia,23696900.0,-37.8136,144.9631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,4,5,7,8,8,10,11,12,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
Western Australia,Australia,Australia,23696900.0,-31.9505,115.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,6,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,3.8,3.6,12.7,45.1
,Austria,Austria,8527230.0,47.5162,14.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,6,6,8,16,21,28,30,49,58,68,86,108,128,146,158,168,186,204,220,243,273,Austria,AT,AUT,-3.52,-1.99,1.42,5.51,10.12,13.29,15.26,14.98,12.09,7.55,1.73,-2.21,6.19,2.0,0.0,19.00156646,66.70048591,107.2069267,50.82942665,High income,23012000.0,Austria,Austria,Europe,31.0,72.0,77.4,24.5,85.5,90.0,2.0,50.0,25.0,50.2,$439.6 ,2.9,1.3,"$49,869",5.5,2.2,78.8,61.0,85.0,85.0,84.0,94.0,85.0,,85.0,,,Europe,21.9,23.4,20.6,7.7,5.1,8.2,109.9
,Azerbaijan,Azerbaijan,9552500.0,40.1431,47.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,5,5,7,7,8,8,Azerbaijan,AZ,AZE,-0.2,0.8,4.97,11.64,16.8,21.73,24.76,24.11,19.83,12.88,7.33,2.03,12.22,0.0,0.0,6.195182751,70.43524739,120.26531990000001,50.1157491,Upper middle income,1562000.0,Azerbaijan,Azerbaijan,Asia-Pacific,60.0,65.4,44.7,59.5,89.4,60.0,5.2,25.0,20.0,36.7,$171.8 ,0.1,1.2,"$17,492",5,13.0,54.7,,95.0,95.0,96.0,96.0,95.0,,96.0,95.0,97.0,Asia,19.9,15.7,23.9,4.6,3.4,7.0,67.6
,Bahamas,Bahamas (the),395361.0,25.0343,-77.3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,5,6,7,,,BHS,21.65,21.88,23.0,24.21,25.77,27.23,27.95,27.99,27.68,26.45,24.44,22.52,25.06,0.0,0.0,7.257602357000001,70.25752197,38.52547453,51.42505219,High income,1346000.0,Bahamas,Bahamas,Americas,76.0,62.9,43.7,86.8,65.7,50.0,18.6,0.0,0.0,21.0,$11.6 ,1.3,-0.7,"$31,139",12.6,1.4,57.2,,,,,,,,,,,Island,32.1,24.8,39.0,2.9,,,
,Bahrain,Bahrain,1316500.0,26.0275,50.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,Bahrain,BH,BHR,,,,,,,,,,,,,,1.0,0.0,2.4263338780000003,78.319356,2017.2737,36.34825161,High income,6732000.0,Bahrain,Bahrain,Middle East and North Africa,54.0,66.4,53.6,62.7,3.7,75.0,3.1,0.0,0.0,35.3,$70.4 ,3.2,3.8,"$48,505",1.2,1.4,90.3,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,,Asia,28.7,24.9,36.1,1.7,0.9,2.5,14.4
,Bangladesh,Bangladesh,157486000.0,23.685,90.3563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,5,5,5,5,5,6,6,6,8,9,12,17,20,Bangladesh,BD,BGD,18.63,21.02,25.42,28.02,28.45,28.46,28.3,28.39,28.36,27.17,23.7,19.74,25.47,0.0,0.0,5.15839064,67.13558688,1239.5793119999998,49.38729667,Lower middle income,155000.0,Bangladesh,Bangladesh,Asia-Pacific,121.0,55.6,24.4,94.5,77.6,45.0,10.7,25.0,45.0,13.6,$687.1 ,7.1,6.7,"$4,211",4.4,5.7,32.4,,98.0,98.0,93.0,97.0,98.0,98.0,98.0,97.0,99.0,Asia,3.4,2.2,4.6,0.6,0.5,0.3,2.9
,Barbados,Barbados,285000.0,13.1939,-59.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,Barbados,BB,BRB,,,,,,,,,,,,,,0.0,0.0,15.80269396,66.85435789,666.6069767000001,51.67283003,High income,568000.0,Barbados,Barbados,Americas,67.0,64.7,53.8,65.0,79.5,70.0,14.2,35.0,25.0,34.1,$5.2 ,0.9,0.6,"$18,664",9.7,4.4,132.9,,95.0,95.0,74.0,85.0,95.0,,94.0,89.0,,North America,24.8,15.6,33.8,,2.5,6.0,17.2
,Belarus,Belarus,9475100.0,53.7098,27.9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5,8,13,13,13,Belarus,BY,BLR,-6.8,-5.5,-0.69,6.92,13.44,16.54,17.72,16.95,12.42,6.9,1.21,-3.58,6.29,0.0,0.0,14.84514817,68.28890878,46.7287999,53.45605422,Upper middle income,116000.0,Belarus,Belarus,Europe,104.0,57.9,37.7,41.3,85.4,30.0,1.8,13.0,18.0,44.2,$178.9 ,2.4,-0.3,"$18,931",0.5,6.0,51.0,,98.0,97.0,98.0,97.0,9.0,,98.0,,98.0,Europe,26.6,23.5,29.1,11.3,4.1,11.4,124.2
,Belgium,Belgium,11225469.0,50.8333,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283,1447,1632,2035,2240,Belgium,BE,BEL,1.95,2.62,5.23,8.15,12.4,15.43,17.24,17.18,14.43,10.68,5.76,3.11,9.51,0.0,0.0,18.78874374,64.1558335,377.2149273,50.59331939,High income,7494000.0,Belgium,Belgium,Europe,48.0,67.3,72.5,15.2,73.4,85.0,2.0,50.0,29.0,53.2,$528.5 ,1.7,1.2,"$46,553",7.4,2.2,103.2,87.0,97.0,98.0,85.0,96.0,97.0,,98.0,94.0,,Europe,24.5,25.1,23.9,6.4,3.3,11.1,89.8
,Benin,Benin,9988068.0,9.3077,2.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Benin,BJ,BEN,26.57,28.69,30.14,30.2,28.93,27.13,25.84,25.44,25.9,27.15,27.15,26.39,27.46,0.0,0.0,3.253605297,54.29871231,101.8539198,50.098201700000004,Low income,209000.0,Benin,Benin,Sub-Saharan Africa,127.0,55.3,28.1,83.4,27.9,70.0,11.6,45.0,30.0,23.5,$25.3 ,5.6,5.0,"$2,277",2.5,0.1,54.6,,76.0,76.0,,71.0,76.0,85.0,75.0,73.0,89.0,Africa,8.2,4.2,12.2,,0.2,0.6,1.9
,Bhutan,Bhutan,755030.0,27.5142,90.4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bhutan,BT,BTN,0.56,2.17,5.68,8.78,11.53,14.39,14.8,14.59,13.35,9.69,5.29,2.07,8.58,0.0,0.0,6.003011712999999,68.22563455,19.77752777,47.00263522,Lower middle income,66000.0,Bhutan,Bhutan,Asia-Pacific,74.0,62.9,54.5,71.6,77.6,20.0,2.8,25.0,30.0,30.7,$7.0 ,6.0,5.2,"$8,744",2.4,3.4,102.4,,97.0,97.0,91.0,97.0,97.0,89.0,97.0,,99.0,Asia,5.8,4.5,7.4,1.8,0.4,1.5,2.9
,Bolivia,Bolivia (Plurinational State of),11050000.0,-16.2902,-63.5887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,9,10,10,11,14,15,,,BOL,22.57,22.43,22.07,21.0,19.25,17.65,17.77,19.43,21.33,22.51,22.91,22.78,20.98,0.0,0.0,7.191947392,61.73450486,10.48014585,49.78339913,Lower middle income,711000.0,Bolivia,Bolivia,Americas,173.0,42.3,19.7,49.3,17.6,15.0,4.8,13.0,25.0,41.1,$83.6 ,4.2,5.1,"$7,547",3.1,2.8,50.9,87.0,83.0,83.0,38.0,89.0,83.0,87.0,83.0,83.0,90.0,South America,,,,1.1,,,
