Country/Region,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,World Rank,2019 Score,Government Integrity,Gov't Spending,Fiscal Health,Investment Freedom ,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Gov't Expenditure % of GDP ,"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),Public Debt (% of GDP),o-im,continent,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Tests,Positive,Tests/ million,Positive/ thousands,lockdown_date,Type_lockdown,nb_trial,deaths_ebola,cases_ebola,1/22/20cases,1/23/20cases,1/24/20cases,1/25/20cases,1/26/20cases,1/27/20cases,1/28/20cases,1/29/20cases,1/30/20cases,1/31/20cases,2/1/20cases,2/2/20cases,2/3/20cases,2/4/20cases,2/5/20cases,2/6/20cases,2/7/20cases,2/8/20cases,2/9/20cases,2/10/20cases,2/11/20cases,2/12/20cases,2/13/20cases,2/14/20cases,2/15/20cases,2/16/20cases,2/17/20cases,2/18/20cases,2/19/20cases,2/20/20cases,2/21/20cases,2/22/20cases,2/23/20cases,2/24/20cases,2/25/20cases,2/26/20cases,2/27/20cases,2/28/20cases,2/29/20cases,3/1/20cases,3/2/20cases,3/3/20cases,3/4/20cases,3/5/20cases,3/6/20cases,3/7/20cases,3/8/20cases,3/9/20cases,3/10/20cases,3/11/20cases,3/12/20cases,3/13/20cases,3/14/20cases,3/15/20cases,3/16/20cases,3/17/20cases,3/18/20cases,3/19/20cases,3/20/20cases,3/21/20cases,3/22/20cases,3/23/20cases,3/24/20cases,3/25/20cases,3/26/20cases,3/27/20cases,3/28/20cases,3/29/20cases,3/30/20cases,3/31/20cases,4/1/20cases,4/2/20cases,4/3/20cases,4/4/20cases,4/5/20cases,4/6/20cases,4/7/20cases,4/8/20cases
China,China,1367110000.0,32.9711,119.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,1,5,9,18,33,47,70,99,129,168,202,236,271,308,341,373,408,439,468,492,515,543,570,593,604,617,626,629,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,633,633,636,638,640,641,641,644,645,646,646,647,651,651,651,651,651,651
China,China,1367110000.0,27.614,115.7221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,2,7,18,18,36,72,109,109,162,240,286,333,391,476,548,600,661,698,740,771,804,844,872,900,913,925,930,933,934,934,934,934,934,934,934,934,934,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,935,936,936,936,936,936,936,936,937,937,937,937,937,937,937,937,937,937,937
China,China,1367110000.0,43.6661,126.1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,0,1,3,4,4,6,8,9,14,14,17,23,31,42,54,59,65,69,78,80,81,83,84,86,88,89,89,89,90,91,91,91,91,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,94,95,95,97,98,98,98,98,98,98,98,98,98,98,98
China,China,1367110000.0,41.2956,122.6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,2,3,4,17,21,27,34,39,41,48,64,70,74,81,89,94,99,105,107,108,111,116,117,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,122,122,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,126,126,127,127,127,127,128,128,132,134,136,139,140,141,141,141,142,142,144,144
China,China,1367110000.0,22.1667,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,1,2,2,2,5,6,7,7,7,7,7,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,15,17,17,18,24,24,25,30,31,33,37,37,38,41,41,41,43,43,44,44,44,45
China,China,1367110000.0,37.2692,106.1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,1,1,2,3,4,7,11,12,17,21,26,28,31,34,34,40,43,45,45,49,53,58,64,67,70,70,70,70,71,71,71,71,71,71,71,71,72,72,73,73,74,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
China,China,1367110000.0,35.7452,95.9956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,0,0,0,1,1,6,6,6,8,8,9,11,13,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
China,China,1367110000.0,35.1917,108.8701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,0,3,5,15,22,35,46,56,63,87,101,116,128,142,165,173,184,195,208,213,219,225,229,230,232,236,240,240,242,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,246,247,248,248,248,249,250,253,253,253,253,253,253,255,255,255,256,256,256,256,256
China,China,1367110000.0,36.3427,118.1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,2,6,15,27,46,75,95,130,158,184,206,230,259,275,307,347,386,416,444,466,487,497,509,523,532,537,541,543,544,546,749,750,754,755,756,756,756,756,756,758,758,758,758,758,758,758,758,758,758,760,760,760,760,760,760,761,761,761,762,764,767,768,768,769,771,772,772,772,773,774,774,775,778,778,779,780,781,783
China,China,1367110000.0,31.201999999999998,121.4491,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,9,16,20,33,40,53,66,96,112,135,169,182,203,219,243,257,277,286,293,299,303,311,315,318,326,328,333,333,333,334,334,335,335,335,336,337,337,337,337,337,337,338,338,339,342,342,342,342,344,344,344,346,353,353,355,358,361,363,371,380,404,404,414,433,451,468,485,492,498,509,516,522,526,529,531,536,538,543
China,China,1367110000.0,37.5777,112.2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,1,1,1,6,9,13,27,27,35,39,47,66,74,81,81,96,104,115,119,119,124,126,126,127,128,129,130,131,131,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,135,135,135,136,136,136,137,137,137,137,138,138,138,163
China,China,1367110000.0,30.6171,102.7103,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,5,8,15,28,44,69,90,108,142,177,207,231,254,282,301,321,344,364,386,405,417,436,451,463,470,481,495,508,514,520,525,526,526,527,529,531,534,538,538,538,538,538,538,539,539,539,539,539,539,539,539,539,539,539,539,540,540,540,541,542,543,543,545,547,547,548,548,550,550,550,552,554,555,557,558,559,560,560
China,China,1367110000.0,39.3054,117.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,4,4,8,10,14,23,24,27,31,32,41,48,60,67,69,79,81,88,91,95,106,112,119,120,122,124,125,128,130,131,132,135,135,135,135,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,137,137,137,137,141,145,145,151,155,161,166,174,174,176,176,180,180,180,180,180,180
China,China,1367110000.0,31.6927,88.0924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,China,1367110000.0,41.1129,85.2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,0,2,2,3,4,5,10,13,14,17,18,21,24,29,32,36,39,42,45,49,55,59,63,65,70,71,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
China,China,1367110000.0,24.974,101.48700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,1,2,5,11,16,26,44,55,70,83,93,105,117,122,128,133,138,138,141,149,153,154,156,162,168,171,171,172,172,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,176,176,176,176,176,176,176,176,176,176,178,180,180,180,180,182,182,183,184,184,184,184,184,184
China,China,1367110000.0,29.1832,120.0934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,CHN,-8.49,-5.91,0.49,7.59,13.07,17.07,19.37,18.48,13.87,7.37,-0.49,-6.51,6.33,1.0,348.0,10.92088354,71.20211371,148.34883330000005,48.67937396,Upper middle income,57581000.0,100.0,58.4,49.1,70.1,76.0,25.0,3.5,45.0,25.0,31.6,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,47.8,99.0,Asia,6.6,6.2,7.1,3.8,0.0,7.598516949152541,0.0,7.598516949152541,23/01/2020,Full,5.0,0.0,0.0,10,27,43,62,104,128,173,296,428,538,599,661,724,829,895,954,1006,1048,1075,1092,1117,1131,1145,1155,1162,1167,1171,1172,1174,1175,1203,1205,1205,1205,1205,1205,1205,1205,1205,1205,1206,1213,1213,1215,1215,1215,1215,1215,1215,1215,1215,1215,1227,1231,1231,1232,1232,1233,1234,1236,1238,1238,1240,1241,1243,1247,1251,1254,1255,1257,1257,1258,1260,1262,1263,1264,1265,1266
Colombia,Colombia,47907800.0,4.5709,-74.2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,6,6,6,10,12,16,17,19,25,32,35,46,50,54,COL,24.62,24.98,25.14,24.75,24.35,23.89,23.79,24.04,24.21,24.29,24.38,24.39,24.4,0.0,0.0,8.47804702,68.444057,44.74870212,50.9257717,Upper middle income,2042000.0,49.0,67.3,33.5,75.0,79.2,80.0,7.0,33.0,33.0,28.9,$714.0 ,1.8,3.2,"$14,485",8.9,4.3,49.4,89.0,South America,22.1,17.3,26.7,1.4,27685.0,1579.0,574.0,5.7,25/03/2020,Full,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,9,9,13,22,34,54,65,93,102,128,196,231,277,378,470,491,539,608,702,798,906,1065,1161,1267,1406,1485,1579,1780,2054
Congo (Brazzaville),Congo (the),5261000.0,-4.0383,21.7587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,5,5,COG,24.7,25.31,25.6,25.62,25.26,23.82,23.03,23.34,24.05,24.54,24.52,24.47,24.52,0.0,0.0,2.681719539,55.554778000000006,15.35684627,50.06560377,Lower middle income,218000.0,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.5985169491525415,7.598516949152541,7.598516949152541,7.5985169491525415,7.5985169491525415,7.598516949152541,7.598516949152541,7.598516949152541,Africa,7.598516949152541,7.598516949152541,7.598516949152541,0.0,0.0,7.598516949152541,0.0,7.598516949152541,Unknown,Unknown,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4,4,19,19,19,19,22,22,22,45,45,45,45
Congo (Kinshasa),Democratic Republic of the Congo (the),81340000.0,-4.0383,21.7587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,6,6,8,8,9,13,13,18,18,18,18,18,COD,24.14,24.5,24.73,24.63,24.35,23.31,22.82,23.51,24.08,24.27,24.13,23.99,24.04,0.0,0.0,3.017840622,50.81651729,37.08259236,50.09774339,Low income,186000.0,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.5985169491525415,7.598516949152541,7.598516949152541,7.5985169491525415,7.5985169491525415,7.598516949152541,7.598516949152541,7.598516949152541,Africa,7.598516949152541,7.598516949152541,7.598516949152541,0.0,0.0,7.598516949152541,0.0,7.598516949152541,Unknown,Unknown,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,14,18,23,30,36,45,48,51,51,65,65,81,98,109,134,134,154,154,161,180,180
